labels,k-clusters
yes,0
no,1
yes,0
no,1
yes,0
no,1
yes,0
no,1
yes,0
no,1
yes,0
no,1
yes,0
no,1
yes,0
no,1
yes,0
no,1
yes,0
no,1
yes,0
no,1
yes,0
no,1
yes,0
no,1
yes,0
no,1
yes,0
no,1
yes,0
no,1
yes,0
no,1
yes,0
no,1
yes,0
no,1
yes,0
no,1
yes,0
no,1
yes,0
no,1
yes,0
no,1
yes,0
no,1
yes,0
no,1
yes,0
no,1
yes,0
no,1
yes,0
no,1
yes,0
no,1
yes,0
no,1
yes,0
no,1
yes,0
no,1
yes,0
no,1
yes,0
no,1
yes,0
no,1
yes,0
no,1
yes,0
no,1
yes,0
no,1
yes,0
no,1
yes,0
no,1
yes,0
no,1
yes,0
no,1
yes,0
no,1
yes,0
no,1
yes,0
no,1
yes,0
no,1
yes,0
no,1
yes,0
no,1
yes,0
no,1
yes,0
no,1
yes,0
no,1
yes,0
no,1
yes,0
no,1
yes,0
no,1
yes,0
no,1
yes,0
no,1
yes,0
no,1
yes,0
no,1
yes,0
no,1
yes,0
no,1
yes,0
no,1
yes,0
no,1
yes,0
no,1
yes,0
no,1
yes,0
no,1
yes,0
no,1
yes,0
no,1
yes,0
no,1
yes,0
no,1
yes,0
no,1
yes,0
no,1
yes,0
no,1
yes,0
no,1
yes,0
no,1
yes,0
no,1
yes,0
no,1
yes,0
no,1
yes,0
no,1
yes,0
no,1
yes,0
no,1
yes,0
no,1
yes,0
no,1
yes,0
no,1
yes,0
no,1
yes,0
no,1
yes,0
no,1
yes,0
no,1
yes,0
no,1
yes,0
no,1
yes,0
no,1
yes,0
no,1
yes,0
no,1
yes,0
no,1
yes,0
no,1
yes,0
no,1
yes,0
no,1
yes,0
no,1
yes,0
no,1
yes,0
no,1
yes,0
no,1
yes,0
no,1
yes,0
no,1
yes,0
no,1
yes,0
no,1
yes,0
no,1
yes,0
no,1
yes,0
no,1
yes,0
no,1
yes,0
no,1
yes,0
no,1
yes,0
no,1
yes,0
no,1
yes,0
no,1
yes,0
no,1
yes,0
no,1
yes,0
no,1
yes,0
no,1
yes,0
no,1
yes,0
no,1
yes,0
no,1
yes,0
no,1
yes,0
no,1
yes,0
no,1
yes,0
no,1
yes,0
no,1
yes,0
no,1
yes,0
no,1
yes,0
no,1
yes,0
no,1
yes,0
no,1
yes,0
no,1
yes,0
no,1
yes,0
no,1
yes,0
no,1
yes,0
no,1
yes,0
no,1
yes,0
no,1
yes,0
no,1
yes,0
no,1
yes,0
no,1
yes,0
no,1
yes,0
no,1
yes,0
no,1
yes,0
no,1
yes,0
