Date,Sales
2018-01-31,104.97
2018-02-28,104.08
2018-03-31,117.36
2018-04-30,131.44
2018-05-31,119.05
2018-06-30,124.06
2018-07-31,146.99
2018-08-31,143.42
2018-09-30,135.31
2018-10-31,149.38
2018-11-30,142.95
2018-12-31,146.21
2019-01-31,156.22
2019-02-28,137.25
2019-03-31,141.37
2019-04-30,154.89
2019-05-31,151.96
2019-06-30,166.51
2019-07-31,155.29
2019-08-31,151.01
2019-09-30,180.35
2019-10-31,163.83
2019-11-30,167.04
2019-12-31,152.31
2020-01-31,161.28
2020-02-29,168.01
2020-03-31,155.63
2020-04-30,171.25
2020-05-31,161.99
2020-06-30,165.77
2020-07-31,163.59
2020-08-31,189.31
2020-09-30,172.13
2020-10-31,163.47
2020-11-30,184.4
2020-12-31,166.43
2021-01-31,183.54
2021-02-28,165.02
2021-03-31,174.85
2021-04-30,193.95
2021-05-31,203.52
2021-06-30,202.3
2021-07-31,204.15
2021-08-31,207.24
2021-09-30,200.59
2021-10-31,213.47
2021-11-30,221.45
2021-12-31,242.08
2022-01-31,240.42
2022-02-28,224.79
2022-03-31,251.02
2022-04-30,249.17
2022-05-31,251.32
2022-06-30,269.08
2022-07-31,277.9
2022-08-31,281.26
2022-09-30,267.61
2022-10-31,276.65
2022-11-30,286.45
2022-12-31,295.95
2023-01-31,284.1
2023-02-28,289.39
2023-03-31,282.19
2023-04-30,282.97
2023-05-31,304.43
2023-06-30,310.96
2023-07-31,297.52
2023-08-31,308.9
2023-09-30,302.92
2023-10-31,293.16
2023-11-30,303.44
2023-12-31,315.38
