year,Characteristic,P05,P25,P50,P75,P95,sortorder
2020,totlf,2860,2886,2904,2922,2950,1
2023,totlf,2858,2916,2963,3011,3073,1
2028,totlf,2874,3016,3110,3208,3356,1
2033,totlf,2899,3099,3239,3387,3598,1
2038,totlf,2941,3175,3343,3528,3810,1
2043,totlf,2950,3226,3434,3656,4012,1
2048,totlf,2914,3285,3515,3775,4143,1
2053,totlf,2897,3313,3578,3876,4280,1
2058,totlf,2882,3318,3621,3933,4424,1
2063,totlf,2823,3315,3654,3994,4557,1
2068,totlf,2797,3318,3683,4057,4667,1
2073,totlf,2754,3299,3704,4107,4738,1
2020,anngrowth,,,,,,2
2023,anngrowth,-27,4,26,46,81,2
2028,anngrowth,-28,5,28,53,88,2
2033,anngrowth,-37,-1,24,51,90,2
2038,anngrowth,-47,-6,19,44,86,2
2043,anngrowth,-43,-8,18,42,77,2
2048,anngrowth,-48,-12,15,41,82,2
2053,anngrowth,-59,-17,11,36,74,2
2058,anngrowth,-60,-22,7,33,78,2
2063,anngrowth,-64,-23,6,36,80,2
2068,anngrowth,-66,-25,6,36,80,2
2073,anngrowth,-63,-26,3,35,80,2
2020,anngrowrate,,,,,,3
2023,anngrowrate,-0.9,0.1,0.9,1.6,2.7,3
2028,anngrowrate,-1,0.2,0.9,1.7,2.8,3
2033,anngrowrate,-1.2,0,0.7,1.6,2.8,3
2038,anngrowrate,-1.4,-0.2,0.6,1.3,2.5,3
2043,anngrowrate,-1.3,-0.2,0.5,1.2,2.2,3
2048,anngrowrate,-1.4,-0.3,0.4,1.1,2.3,3
2053,anngrowrate,-1.7,-0.5,0.3,1,2.1,3
2058,anngrowrate,-1.8,-0.6,0.2,0.9,2.1,3
2063,anngrowrate,-1.8,-0.6,0.2,1,2.1,3
2068,anngrowrate,-1.9,-0.7,0.2,1,2.2,3
2073,anngrowrate,-1.8,-0.7,0.1,0.9,2,3
2020,age15_24,413,418,422,425,431,4
2023,age15_24,391,404,415,425,441,4
2028,age15_24,390,421,441,461,495,4
2033,age15_24,398,433,459,484,523,4
2038,age15_24,377,414,441,470,515,4
2043,age15_24,353,396,427,460,516,4
2048,age15_24,333,387,426,467,534,4
2053,age15_24,321,382,429,475,554,4
2058,age15_24,312,378,435,490,579,4
2063,age15_24,305,380,442,503,604,4
2068,age15_24,296,377,444,509,618,4
2073,age15_24,283,367,439,513,631,4
2020,age25_44,1203,1211,1216,1221,1228,5
2023,age25_44,1207,1233,1252,1271,1299,5
2028,age25_44,1198,1269,1317,1364,1442,5
2033,age25_44,1175,1282,1356,1434,1550,5
2038,age25_44,1142,1285,1374,1469,1619,5
2043,age25_44,1137,1292,1394,1503,1685,5
2048,age25_44,1139,1309,1415,1542,1713,5
