SER_REF,TIME_REF,DATA_VAL,STATUS,UNITS,Subject,Group,Series_title_1,Series_title_2,Series_title_3
CPIM.SE1041F,2006.11,1000,FINAL,Index,CPI,CPI Monthly Rents (Broad Regions),Auckland,Actual rentals for housing,Flow
CPIM.SE1041F,2006.12,995,FINAL,Index,CPI,CPI Monthly Rents (Broad Regions),Auckland,Actual rentals for housing,Flow
CPIM.SE1041F,2007.01,1007,FINAL,Index,CPI,CPI Monthly Rents (Broad Regions),Auckland,Actual rentals for housing,Flow
CPIM.SE1041F,2007.02,1012,FINAL,Index,CPI,CPI Monthly Rents (Broad Regions),Auckland,Actual rentals for housing,Flow
CPIM.SE1041F,2007.03,1020,FINAL,Index,CPI,CPI Monthly Rents (Broad Regions),Auckland,Actual rentals for housing,Flow
CPIM.SE1041F,2007.04,1023,FINAL,Index,CPI,CPI Monthly Rents (Broad Regions),Auckland,Actual rentals for housing,Flow
CPIM.SE1041F,2007.05,1045,FINAL,Index,CPI,CPI Monthly Rents (Broad Regions),Auckland,Actual rentals for housing,Flow
CPIM.SE1041F,2007.06,1033,FINAL,Index,CPI,CPI Monthly Rents (Broad Regions),Auckland,Actual rentals for housing,Flow
CPIM.SE1041F,2007.07,1037,FINAL,Index,CPI,CPI Monthly Rents (Broad Regions),Auckland,Actual rentals for housing,Flow
CPIM.SE1041F,2007.08,1058,FINAL,Index,CPI,CPI Monthly Rents (Broad Regions),Auckland,Actual rentals for housing,Flow
CPIM.SE1041F,2007.09,1051,FINAL,Index,CPI,CPI Monthly Rents (Broad Regions),Auckland,Actual rentals for housing,Flow
CPIM.SE1041F,2007.10,1051,FINAL,Index,CPI,CPI Monthly Rents (Broad Regions),Auckland,Actual rentals for housing,Flow
CPIM.SE1041F,2007.11,1063,FINAL,Index,CPI,CPI Monthly Rents (Broad Regions),Auckland,Actual rentals for housing,Flow
CPIM.SE1041F,2007.12,1064,FINAL,Index,CPI,CPI Monthly Rents (Broad Regions),Auckland,Actual rentals for housing,Flow
CPIM.SE1041F,2008.01,1050,FINAL,Index,CPI,CPI Monthly Rents (Broad Regions),Auckland,Actual rentals for housing,Flow
CPIM.SE1041F,2008.02,1082,FINAL,Index,CPI,CPI Monthly Rents (Broad Regions),Auckland,Actual rentals for housing,Flow
CPIM.SE1041F,2008.03,1076,FINAL,Index,CPI,CPI Monthly Rents (Broad Regions),Auckland,Actual rentals for housing,Flow
CPIM.SE1041F,2008.04,1083,FINAL,Index,CPI,CPI Monthly Rents (Broad Regions),Auckland,Actual rentals for housing,Flow
CPIM.SE1041F,2008.05,1085,FINAL,Index,CPI,CPI Monthly Rents (Broad Regions),Auckland,Actual rentals for housing,Flow
CPIM.SE1041F,2008.06,1070,FINAL,Index,CPI,CPI Monthly Rents (Broad Regions),Auckland,Actual rentals for housing,Flow
CPIM.SE1041F,2008.07,1071,FINAL,Index,CPI,CPI Monthly Rents (Broad Regions),Auckland,Actual rentals for housing,Flow
CPIM.SE1041F,2008.08,1056,FINAL,Index,CPI,CPI Monthly Rents (Broad Regions),Auckland,Actual rentals for housing,Flow
CPIM.SE1041F,2008.09,1069,FINAL,Index,CPI,CPI Monthly Rents (Broad Regions),Auckland,Actual rentals for housing,Flow
CPIM.SE1041F,2008.10,1064,FINAL,Index,CPI,CPI Monthly Rents (Broad Regions),Auckland,Actual rentals for housing,Flow
CPIM.SE1041F,2008.11,1059,FINAL,Index,CPI,CPI Monthly Rents (Broad Regions),Auckland,Actual rentals for housing,Flow
CPIM.SE1041F,2008.12,1057,FINAL,Index,CPI,CPI Monthly Rents (Broad Regions),Auckland,Actual rentals for housing,Flow
CPIM.SE1041F,2009.01,1061,FINAL,Index,CPI,CPI Monthly Rents (Broad Regions),Auckland,Actual rentals for housing,Flow
CPIM.SE1041F,2009.02,1071,FINAL,Index,CPI,CPI Monthly Rents (Broad Regions),Auckland,Actual rentals for housing,Flow
CPIM.SE1041F,2009.03,1068,FINAL,Index,CPI,CPI Monthly Rents (Broad Regions),Auckland,Actual rentals for housing,Flow
CPIM.SE1041F,2009.04,1059,FINAL,Index,CPI,CPI Monthly Rents (Broad Regions),Auckland,Actual rentals for housing,Flow
CPIM.SE1041F,2009.05,1058,FINAL,Index,CPI,CPI Monthly Rents (Broad Regions),Auckland,Actual rentals for housing,Flow
CPIM.SE1041F,2009.06,1073,FINAL,Index,CPI,CPI Monthly Rents (Broad Regions),Auckland,Actual rentals for housing,Flow
CPIM.SE1041F,2009.07,1057,FINAL,Index,CPI,CPI Monthly Rents (Broad Regions),Auckland,Actual rentals for housing,Flow
CPIM.SE1041F,2009.08,1063,FINAL,Index,CPI,CPI Monthly Rents (Broad Regions),Auckland,Actual rentals for housing,Flow
CPIM.SE1041F,2009.09,1062,FINAL,Index,CPI,CPI Monthly Rents (Broad Regions),Auckland,Actual rentals for housing,Flow
CPIM.SE1041F,2009.10,1075,FINAL,Index,CPI,CPI Monthly Rents (Broad Regions),Auckland,Actual rentals for housing,Flow
CPIM.SE1041F,2009.11,1082,FINAL,Index,CPI,CPI Monthly Rents (Broad Regions),Auckland,Actual rentals for housing,Flow
CPIM.SE1041F,2009.12,1074,FINAL,Index,CPI,CPI Monthly Rents (Broad Regions),Auckland,Actual rentals for housing,Flow
CPIM.SE1041F,2010.01,1082,FINAL,Index,CPI,CPI Monthly Rents (Broad Regions),Auckland,Actual rentals for housing,Flow
CPIM.SE1041F,2010.02,1078,FINAL,Index,CPI,CPI Monthly Rents (Broad Regions),Auckland,Actual rentals for housing,Flow
CPIM.SE1041F,2010.03,1088,FINAL,Index,CPI,CPI Monthly Rents (Broad Regions),Auckland,Actual rentals for housing,Flow
CPIM.SE1041F,2010.04,1102,FINAL,Index,CPI,CPI Monthly Rents (Broad Regions),Auckland,Actual rentals for housing,Flow
CPIM.SE1041F,2010.05,1103,FINAL,Index,CPI,CPI Monthly Rents (Broad Regions),Auckland,Actual rentals for housing,Flow
CPIM.SE1041F,2010.06,1108,FINAL,Index,CPI,CPI Monthly Rents (Broad Regions),Auckland,Actual rentals for housing,Flow
